ind;press;temp
876;38.30335593;23.56
877;38.31135593;23.561
878;38.31135593;23.56
879;38.35635593;23.559
880;38.44535593;23.556
881;38.54335593;23.553
882;38.64035593;23.555
883;38.67635593;23.553
884;38.70335593;23.552
885;38.72935593;23.551
886;38.72935593;23.551
887;38.80035593;23.548
888;38.84535593;23.548
889;38.91635593;23.548
890;38.91635593;23.546
891;38.84535593;23.549
892;38.85435593;23.547
893;38.89835593;23.548
894;38.98735593;23.547
895;39.09435593;23.546
896;39.22735593;23.542
897;39.32535593;23.538
898;39.35135593;23.539
899;39.30735593;23.537
900;39.28935593;23.539
901;39.28035593;23.538
902;39.24535593;23.54
903;39.26235593;23.54
904;39.36035593;23.539
905;39.47635593;23.538
906;39.57335593;23.535
907;39.60035593;23.533
908;39.62735593;23.533
909;39.64535593;23.533
910;39.70735593;23.532
911;39.75135593;23.529
912;39.82235593;23.526
913;39.89335593;23.526
914;39.90235593;23.527
915;39.83135593;23.526
916;39.84935593;23.526
917;39.85835593;23.524
918;39.93835593;23.524
919;40.04535593;23.523
920;40.17835593;23.522
921;40.23135593;23.52
922;40.27635593;23.517
923;40.27635593;23.519
924;40.23135593;23.519
925;40.20435593;23.519
926;40.24935593;23.518
927;40.29335593;23.519
928;40.35635593;23.516
929;40.40035593;23.516
930;40.47135593;23.515
931;40.54235593;23.513
932;40.54235593;23.513
933;40.55135593;23.511
934;40.49835593;23.511
935;40.48035593;23.511
936;40.52435593;23.513
937;40.57835593;23.51
938;40.65835593;23.509
939;40.79135593;23.504
940;40.89835593;23.499
941;40.93335593;23.494
942;40.93335593;23.496
943;40.89835593;23.496
944;40.84435593;23.496
945;40.81835593;23.497
946;40.84435593;23.497
947;40.96035593;23.495
948;41.07635593;23.49
949;41.15635593;23.482
950;41.20935593;23.475
951;41.19135593;23.475
952;41.14735593;23.476
953;41.13835593;23.477
954;41.09335593;23.479
955;41.10235593;23.479
956;41.17335593;23.478
957;41.28935593;23.473
958;41.38735593;23.465
959;41.42235593;23.462
960;41.42235593;23.463
961;41.42235593;23.46
962;41.40435593;23.461
963;41.43135593;23.46
964;41.48435593;23.457
965;41.54735593;23.456
966;41.57335593;23.457
967;41.54735593;23.458
968;41.47635593;23.46
969;41.50235593;23.458
970;41.56435593;23.454
971;41.63635593;23.455
972;41.75135593;23.453
973;41.87635593;23.452
974;41.95635593;23.448
975;41.95635593;23.446
976;41.93835593;23.447
977;41.88435593;23.448
978;41.84035593;23.449
979;41.86735593;23.448
980;41.86735593;23.45
981;41.91135593;23.449
982;42.00035593;23.448
983;42.11635593;23.445
984;42.16035593;23.439
985;42.21335593;23.436
986;42.24935593;23.434
987;42.27635593;23.431
988;42.25835593;23.429
989;42.24035593;23.431
990;42.24035593;23.43
991;42.29335593;23.428
992;42.35635593;23.428
993;42.41835593;23.426
994;42.43635593;23.424
995;42.49835593;23.421
996;42.56035593;23.418
997;42.61335593;23.415
998;42.70235593;23.413
999;42.80035593;23.411
1000;42.84435593;23.409
1001;42.85335593;23.406
1002;42.82735593;23.409
1003;42.80035593;23.409
1004;42.84435593;23.408
1005;42.88935593;23.408
1006;42.96035593;23.407
1007;43.03135593;23.403
1008;43.12935593;23.402
1009;43.22735593;23.402
1010;43.28035593;23.4
1011;43.27135593;23.399
1012;43.22735593;23.402
1013;43.14735593;23.401
1014;43.15635593;23.402
1015;43.20935593;23.4
1016;43.25335593;23.401
1017;43.31635593;23.399
1018;43.37835593;23.398
1019;43.47635593;23.397
1020;43.52035593;23.397
1021;43.52035593;23.395
1022;43.44035593;23.396
1023;43.45835593;23.397
1024;43.44935593;23.395
1025;43.44035593;23.395
1026;43.49335593;23.396
1027;43.54735593;23.396
1028;43.65335593;23.397
1029;43.73435593;23.395
1030;43.76035593;23.393
1031;43.72535593;23.395
1032;43.63635593;23.392
1033;43.59135593;23.393
1034;43.56535593;23.395
1035;43.57335593;23.394
1036;43.60035593;23.393
1037;43.61835593;23.395
1038;43.69835593;23.393
1039;43.76035593;23.393
1040;43.73435593;23.393
1041;43.71635593;23.396
1042;43.67135593;23.395
1043;43.65335593;23.396
1044;43.68935593;23.393
1045;43.70735593;23.394
1046;43.76035593;23.393
1047;43.75135593;23.392
1048;43.74235593;23.392
1049;43.68035593;23.394
1050;43.64535593;23.394
1051;43.60935593;23.395
1052;43.62735593;23.393
1053;43.68035593;23.391
1054;43.75135593;23.393
1055;43.79635593;23.393
1056;43.76035593;23.393
1057;43.72535593;23.393
1058;43.68935593;23.393
1059;43.64535593;23.394
1060;43.63635593;23.395
1061;43.65335593;23.394
1062;43.68935593;23.393
1063;43.72535593;23.392
1064;43.69835593;23.394
1065;43.66235593;23.395
1066;43.65335593;23.394
1067;43.63635593;23.395
1068;43.63635593;23.393
1069;43.68035593;23.393
1070;43.74235593;23.396
1071;43.79635593;23.393
1072;43.76035593;23.394
1073;43.70735593;23.393
1074;43.66235593;23.393
1075;43.62735593;23.393
1076;43.65335593;23.393
1077;43.68935593;23.393
1078;43.76035593;23.392
1079;43.81435593;23.392
1080;43.77835593;23.392
1081;43.76935593;23.393
1082;43.75135593;23.393
1083;43.73435593;23.393
1084;43.69835593;23.393
1085;43.66235593;23.393
1086;43.65335593;23.394
1087;43.62735593;23.394
1088;43.66235593;23.395
1089;43.69835593;23.392
1090;43.74235593;23.393
1091;43.73435593;23.393
1092;43.70735593;23.394
1093;43.64535593;23.394
1094;43.55635593;23.395
1095;43.50235593;23.393
1096;43.45835593;23.395
1097;43.49335593;23.393
1098;43.52035593;23.396
1099;43.60935593;23.395
1100;43.62735593;23.394
1101;43.59135593;23.395
1102;43.54735593;23.394
1103;43.50235593;23.393
1104;43.47635593;23.395
1105;43.41335593;23.396
1106;43.37835593;23.395
1107;43.35135593;23.396
1108;43.34235593;23.396
1109;43.35135593;23.396
1110;43.42235593;23.398
1111;43.52035593;23.395
1112;43.59135593;23.396
1113;43.62735593;23.396
1114;43.58235593;23.395
1115;43.51135593;23.396
1116;43.43135593;23.395
1117;43.36935593;23.397
1118;43.37835593;23.396
1119;43.41335593;23.394
1120;43.48535593;23.396
1121;43.57335593;23.394
1122;43.60035593;23.395
1123;43.59135593;23.392
1124;43.55635593;23.394
1125;43.50235593;23.395
1126;43.47635593;23.395
1127;43.43135593;23.395
1128;43.40535593;23.395
1129;43.49335593;23.395
1130;43.58235593;23.392
1131;43.64535593;23.394
1132;43.65335593;23.393
1133;43.63635593;23.394
1134;43.60035593;23.393
1135;43.59135593;23.393
1136;43.58235593;23.394
1137;43.60035593;23.394
1138;43.64535593;23.393
1139;43.70735593;23.393
1140;43.75135593;23.393
1141;43.74235593;23.394
1142;43.69835593;23.393
1143;43.65335593;23.392
1144;43.66235593;23.393
1145;43.66235593;23.393
1146;43.71635593;23.393
1147;43.77835593;23.391
1148;43.80535593;23.393
1149;43.78735593;23.392
